path	type	size_bytes	size_human	category	recommendation	reason	reproducible	important
src/babappa/benchmarks/__pycache__/saturation_panel_audit.cpython-311.pyc	file	6022	5.9K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/benchmarks/__pycache__/stability.cpython-311.pyc	file	18014	17.6K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/benchmarks/__pycache__/stability_audit.cpython-311.pyc	file	4093	4.0K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/branch/__pycache__/__init__.cpython-311.pyc	file	5508	5.4K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/branch/__pycache__/aggregation.cpython-311.pyc	file	21488	21.0K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/branch/__pycache__/audit.cpython-311.pyc	file	9072	8.9K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/branch/__pycache__/baseline.cpython-311.pyc	file	19390	18.9K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/branch/__pycache__/calibration.cpython-311.pyc	file	22743	22.2K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/branch/__pycache__/context_ablation.cpython-311.pyc	file	34052	33.3K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/branch/__pycache__/controls.cpython-311.pyc	file	62908	61.4K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/branch/__pycache__/cycle39_report.cpython-311.pyc	file	53755	52.5K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/branch/__pycache__/dataset.cpython-311.pyc	file	59305	57.9K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/branch/__pycache__/feature_policy.cpython-311.pyc	file	5721	5.6K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/branch/__pycache__/leakage.cpython-311.pyc	file	16981	16.6K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/branch/__pycache__/mps_preflight.cpython-311.pyc	file	41604	40.6K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
